"date","ARIST","BAMU","BOER4","CYPER","EVNU","GUSA2","HYFL","LIAU4","POJA5","PRGL2","SEBA3","SELE6","SPFL2"
1915-06-01,14,0,33,0,1,0,0,0,0,0,2,0,0
1915-10-01,13,0,37,0,2,1,0,0,0,0,2,0,0
1916-05-01,14,0,29,0,0,0,0,0,0,0,2,0,0
1917-06-01,11,0,17,0,0,1,27,0,0,0,0,0,0
1917-09-01,38,0,28,0,9,2,12,1,4,0,4,0,0
1918-09-01,7,0,10,0,0,0,0,0,0,0,0,0,0
1919-07-01,6,0,9,0,0,0,5,4,0,0,0,0,0
1919-10-01,5,0,22,0,0,0,0,0,0,0,0,0,0
1920-10-01,3,0,32,0,3,0,2,4,0,0,0,0,0
1921-10-01,14,0,27,2,2,0,1,0,0,0,0,0,0
1922-10-01,5,0,21,0,2,0,0,0,0,0,0,0,0
1923-10-01,6,0,21,9,6,1,12,0,0,0,0,0,4
1924-10-01,3,0,19,0,1,0,0,0,0,0,0,0,0
1925-10-01,2,0,23,0,0,0,0,0,0,0,1,0,0
1926-09-01,1,0,20,1,3,0,2,1,0,0,0,0,0
1927-09-01,1,0,32,1,5,0,0,0,0,0,3,0,0
1928-09-01,2,0,29,1,0,0,0,0,0,0,2,0,0
1929-09-01,7,0,25,0,0,0,0,0,0,0,1,0,0
1930-08-01,9,0,20,0,4,0,0,1,0,0,1,0,0
1931-09-01,14,0,33,0,3,0,0,0,0,0,0,0,0
1932-09-01,11,0,40,0,5,0,0,1,0,0,0,0,0
1933-10-01,8,0,33,0,5,0,3,2,0,0,0,0,0
1934-10-01,8,16,20,0,2,0,0,0,1,0,2,0,0
1935-05-01,2,0,11,0,0,1,14,1,0,0,0,0,0
1935-10-01,2,0,10,4,3,0,5,2,0,0,0,0,0
1936-10-01,3,0,23,0,4,0,7,0,0,0,1,0,0
1937-10-01,1,0,8,0,2,0,2,0,0,0,0,0,0
1938-09-01,1,0,14,0,0,1,0,0,0,0,0,0,0
1940-01-01,1,4,12,0,0,1,0,4,0,0,0,0,0
1941-02-01,1,0,23,0,0,1,0,0,0,0,0,0,0
1942-01-01,1,2,33,0,0,4,1,1,0,0,0,0,0
1942-10-01,3,3,31,0,0,7,1,2,0,0,0,0,0
1943-12-01,11,0,48,0,0,5,0,0,0,0,0,0,0
1944-09-01,1,0,46,0,0,6,0,0,0,0,1,0,0
1945-09-01,1,0,38,0,0,4,0,3,0,0,1,0,0
1947-02-01,2,0,36,0,0,2,0,0,0,0,0,0,0
1947-09-01,2,0,40,0,0,1,0,0,0,0,1,0,0
1949-09-01,0,0,36,0,0,0,0,0,0,0,1,0,0
1950-11-01,0,0,28,0,0,0,0,0,0,0,2,0,0
1951-08-01,0,0,10,0,0,0,0,0,0,0,0,0,0
1952-09-01,0,0,4,0,0,0,0,0,0,1,0,0,0
1956-08-01,0,0,4,0,0,0,0,0,0,2,0,0,0
1957-08-01,0,0,3,0,0,0,0,0,0,1,0,0,0
1958-09-01,0,0,0,0,0,0,0,0,0,1,1,0,0
1959-09-01,0,0,0,0,0,1,0,0,0,1,0,0,0
1960-08-01,0,0,0,0,0,1,0,0,0,1,2,0,0
1961-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0
1965-10-01,0,0,0,0,0,2,0,0,0,2,0,0,2
1966-10-01,0,0,0,0,0,0,0,0,0,2,1,0,19
1968-08-01,0,0,0,0,0,0,0,0,0,2,4,0,5
1969-09-01,0,0,0,0,0,0,0,0,0,2,4,0,3
1971-07-01,0,0,0,0,0,0,0,0,0,6,0,0,0
1972-08-01,0,0,0,0,0,0,0,0,0,1,0,0,9
1973-08-01,0,0,0,0,0,3,0,0,0,1,0,0,12
1974-06-01,0,0,0,0,0,5,0,0,0,1,0,0,5
1975-08-01,0,0,0,0,0,3,0,0,0,1,0,0,6
1976-07-01,0,0,0,0,0,3,0,0,0,3,0,0,10
1977-07-01,0,0,0,0,0,6,0,0,0,1,0,0,7
1995-10-01,0,0,0,0,0,0,0,0,0,1,0,1,0
2001-10-01,0,0,0,0,0,0,0,0,0,1,0,1,0
